Date,Open,High,Low,Close,Volume
1/3/2023 16:00:00,89.59,91.05,88.52,89.12,28131224
1/4/2023 16:00:00,90.35,90.65,87.27,88.08,34854776
1/5/2023 16:00:00,87.47,87.57,85.9,86.2,27194375
1/6/2023 16:00:00,86.79,87.69,84.86,87.34,41381495
1/9/2023 16:00:00,88.36,90.05,87.86,88.02,29003901
1/10/2023 16:00:00,85.98,88.67,85.83,88.42,30467755
1/11/2023 16:00:00,89.18,91.6,89.01,91.52,26861969
1/12/2023 16:00:00,91.48,91.87,89.75,91.13,30258135
1/13/2023 16:00:00,90.85,92.19,90.13,92.12,26329212
1/17/2023 16:00:00,92.06,92.25,90.05,91.29,32602423
1/18/2023 16:00:00,92.14,92.8,90.64,91.12,29116691
1/19/2023 16:00:00,90.72,93.61,90.63,93.05,37000395
1/20/2023 16:00:00,95.1,98.3,95.02,98.02,63191078
1/23/2023 16:00:00,97.95,100.04,97.5,99.79,40005055
1/24/2023 16:00:00,98.1,99.61,97.2,97.7,33078512
1/25/2023 16:00:00,95.57,96.16,93.76,95.22,42329952
1/26/2023 16:00:00,96.5,97.57,95.38,97.52,30113974
1/27/2023 16:00:00,97.31,100.32,97.31,99.37,33879753
1/30/2023 16:00:00,97.48,98.29,96.4,96.94,27226198
1/31/2023 16:00:00,96.87,98.88,96.82,98.84,29870669
2/1/2023 16:00:00,98.71,101.19,97.58,100.43,35531104
2/2/2023 16:00:00,105.8,107.85,105.61,107.74,69883762
2/3/2023 16:00:00,102.93,107.81,102.58,104.78,65309261
2/6/2023 16:00:00,102.4,104.36,101.88,102.9,31999562
2/7/2023 16:00:00,103.22,108.18,103.12,107.64,49010230
2/8/2023 16:00:00,102.05,103.14,98.04,99.37,94743515
2/9/2023 16:00:00,100,100.03,93.63,95.01,119455020
2/10/2023 16:00:00,95.45,96.75,94.25,94.57,54980696
2/13/2023 16:00:00,94.74,95.2,93.84,94.61,50076120
2/14/2023 16:00:00,94.43,94.85,92.26,94.68,54726120
2/15/2023 16:00:00,94.49,97.12,94.15,96.94,50298481
2/16/2023 16:00:00,95.37,97.68,94.74,95.51,42462618
2/17/2023 16:00:00,94.85,95.56,93.21,94.35,34284118
2/21/2023 16:00:00,93,93.1,91.72,91.79,33629256
2/22/2023 16:00:00,91.7,92.11,90.61,91.65,30884017
2/23/2023 16:00:00,91.92,91.94,89.76,90.89,41206380
2/24/2023 16:00:00,89.44,89.89,88.58,89.13,36585093
2/27/2023 16:00:00,89.87,90.16,89.34,89.87,27502302
2/28/2023 16:00:00,89.33,91.23,89.32,90.06,30142039
3/1/2023 16:00:00,89.98,91.03,89.67,90.36,31111225
3/2/2023 16:00:00,89.66,92.28,89.59,92,32226229
3/3/2023 16:00:00,92.48,93.73,92.45,93.65,35160105
3/6/2023 16:00:00,94.02,95.97,94,95.13,32639313
3/7/2023 16:00:00,94.98,95.67,93.53,93.86,27835476
3/8/2023 16:00:00,94.12,95.96,94,94.25,34103265
3/9/2023 16:00:00,94.05,95.53,91.9,92.32,28813532
3/10/2023 16:00:00,92.17,92.79,90.4,90.63,35941046
3/13/2023 16:00:00,90.09,92.57,89.42,91.11,37335573
3/14/2023 16:00:00,92.56,94.36,92.44,93.97,36050214
3/15/2023 16:00:00,93.22,96.93,92.64,96.11,50622050
3/16/2023 16:00:00,96.2,101.19,95.5,100.32,65567656
3/17/2023 16:00:00,100.26,102.84,100.1,101.62,61028547
3/20/2023 16:00:00,100.12,101.75,99.87,101.22,32960440
3/21/2023 16:00:00,101.25,105.1,101.22,104.92,42110279
3/22/2023 16:00:00,104.27,106.59,103.33,103.37,43427419
3/23/2023 16:00:00,105.06,106.3,104.46,105.6,40797769
3/24/2023 16:00:00,104.99,105.49,103.84,105.44,30411043
3/27/2023 16:00:00,104.62,104.76,101.93,102.46,31120864
3/28/2023 16:00:00,102.44,102.45,99.74,101.03,32057865
3/29/2023 16:00:00,102.28,102.49,100.65,101.39,28779572
3/30/2023 16:00:00,100.91,101.16,99.78,100.89,33086183
3/31/2023 16:00:00,101.3,103.89,101.04,103.73,36863369
4/3/2023 16:00:00,102.39,104.53,101.93,104.36,25035399
4/4/2023 16:00:00,104.33,105.58,104.04,104.72,24420079
4/5/2023 16:00:00,105.78,106.1,103.66,104.47,28290503
4/6/2023 16:00:00,105.26,109.17,104.33,108.42,48711480
4/10/2023 16:00:00,106.98,107.59,105.12,106.44,27067355
4/11/2023 16:00:00,106.55,106.73,104.68,105.35,26311803
4/12/2023 16:00:00,106.58,106.75,104.34,104.64,24370274
4/13/2023 16:00:00,105.84,107.49,105.84,107.43,24843579
4/14/2023 16:00:00,106.89,108.94,106.84,108.87,26578002
4/17/2023 16:00:00,104.66,106.16,104.52,105.97,37571218
4/18/2023 16:00:00,106.49,106.54,104.07,104.5,26596445
4/19/2023 16:00:00,103.58,104.98,103.07,104.18,20905684
4/20/2023 16:00:00,103.91,106.25,103.87,105.29,27820794
4/21/2023 16:00:00,105.47,106,104.78,105.41,25800082
4/24/2023 16:00:00,105.49,106.63,104.7,105.97,23542829
4/25/2023 16:00:00,105.83,106.69,103.84,103.85,46664104
4/26/2023 16:00:00,104.92,106.35,102.63,103.71,53347560
4/27/2023 16:00:00,104.45,108.37,103.54,107.59,50089187
4/28/2023 16:00:00,107.04,107.35,105.09,107.34,36139847
5/1/2023 16:00:00,106.84,107.99,106.82,107.2,26681680
5/2/2023 16:00:00,107.14,107.2,103.71,105.32,30997245
5/3/2023 16:00:00,105.53,107.49,104.96,105.41,21795405
5/4/2023 16:00:00,105.49,105.6,103.97,104.69,23419506
5/5/2023 16:00:00,104.82,105.88,104.11,105.57,26639254
5/8/2023 16:00:00,105.18,107.96,105.16,107.77,26511445
5/9/2023 16:00:00,108.39,110.15,107.19,107.35,36360141
5/10/2023 16:00:00,107.97,112.94,107.93,111.75,63153367
5/11/2023 16:00:00,115.4,117.92,114.41,116.57,78900029
5/12/2023 16:00:00,116.68,118.03,116.11,117.51,41102330
5/15/2023 16:00:00,116.11,118.48,116.01,116.51,36266765
5/16/2023 16:00:00,116.49,120.75,116.43,119.51,45035558
5/17/2023 16:00:00,119.61,121.67,118.89,120.84,33323588
5/18/2023 16:00:00,120.95,123.31,120.83,122.83,35234233
5/19/2023 16:00:00,123.55,125.97,122.15,122.76,41353445
5/22/2023 16:00:00,122.94,126.43,122.74,125.05,35253034
5/23/2023 16:00:00,124.16,124.63,122.21,122.56,34046251
5/24/2023 16:00:00,121.12,121.91,119.86,120.9,34182635
5/25/2023 16:00:00,124.52,125.32,121.96,123.48,42316986
5/26/2023 16:00:00,123.17,125.26,122.45,124.61,35635937
5/30/2023 16:00:00,125.64,125.66,122,123.67,35076658
5/31/2023 16:00:00,122.75,124.06,122.5,122.87,37325787
6/1/2023 16:00:00,122.82,124.42,122.62,123.72,30772683
6/2/2023 16:00:00,123.99,126.15,123.76,124.67,26980147
6/5/2023 16:00:00,124.01,127.43,123.84,126.01,32305531
6/6/2023 16:00:00,126.01,128.29,125.36,127.31,26638295
6/7/2023 16:00:00,126.97,129.04,122.12,122.5,52538986
6/8/2023 16:00:00,122.23,123.23,121.24,122.14,29389167
6/9/2023 16:00:00,122.25,123.76,121.91,122.23,23778319
6/12/2023 16:00:00,122.79,124.05,121.66,123.64,28338743
6/13/2023 16:00:00,124.98,125.16,123.18,123.83,22278313
6/14/2023 16:00:00,123.1,124.05,121.45,123.67,30592297
6/15/2023 16:00:00,123.14,125.46,122.4,125.09,35246268
6/16/2023 16:00:00,125.93,126.11,123.28,123.53,45535553
6/20/2023 16:00:00,122.93,124.57,122.14,123.1,26097492
6/21/2023 16:00:00,122.4,122.66,120.1,120.55,30306336
6/22/2023 16:00:00,120,123.24,118.83,123.15,26952246
6/23/2023 16:00:00,121.38,122.79,121.06,122.34,34913637
6/26/2023 16:00:00,120.76,122,118.27,118.34,33969897
6/27/2023 16:00:00,117.08,119.08,116.1,118.33,39535936
6/28/2023 16:00:00,117.09,120.39,116.85,120.18,27091449
6/29/2023 16:00:00,119.24,120.06,118.3,119.1,24090902
6/30/2023 16:00:00,120.17,121.08,119.69,119.7,29532241
7/3/2023 13:05:00,119.24,120.19,118.82,119.9,14467850
7/5/2023 16:00:00,119.24,122.61,119.23,121.75,27584809
7/6/2023 16:00:00,119.8,120.3,118.4,120.11,24778801
7/7/2023 16:00:00,120.1,121.05,119.4,119.48,21709549
7/10/2023 16:00:00,118.3,118.31,116.14,116.45,35315235
7/11/2023 16:00:00,116.29,117.71,115.35,117.14,23078782
7/12/2023 16:00:00,118.8,120.33,118.41,118.93,30404409
7/13/2023 16:00:00,120.93,124.83,120.45,124.54,44297915
7/14/2023 16:00:00,124.8,126.78,123.49,125.42,33283076
7/17/2023 16:00:00,125.94,127.1,124.2,124.65,25716215
7/18/2023 16:00:00,124.6,124.68,122.96,123.76,26226447
7/19/2023 16:00:00,124.6,125.18,121.8,122.03,37224033
7/20/2023 16:00:00,121.42,124.09,118.22,119.2,37906763
7/21/2023 16:00:00,120.62,120.99,118.73,120.02,71606474
7/24/2023 16:00:00,121.66,123,120.98,121.53,29723667
7/25/2023 16:00:00,121.36,123.15,121.02,122.21,52509551
7/26/2023 16:00:00,130.07,130.98,128.32,129.27,61682093
7/27/2023 16:00:00,131.67,133.24,128.79,129.4,44952074
7/28/2023 16:00:00,130.78,133.74,130.57,132.58,36591158
7/31/2023 16:00:00,132.73,133.53,131.78,132.72,28055531
8/1/2023 16:00:00,130.78,132.63,130.68,131.55,23276440
8/2/2023 16:00:00,129.45,130.09,127.56,128.38,26273258
8/3/2023 16:00:00,127.97,129.39,127.42,128.45,20159528
8/4/2023 16:00:00,129.28,131.51,127.91,128.11,26147158
8/7/2023 16:00:00,129.16,131.61,129.02,131.53,22746290
8/8/2023 16:00:00,130.62,131.51,129.54,131.4,23535181
8/9/2023 16:00:00,131.66,132.04,129,129.66,24912918
8/10/2023 16:00:00,131.32,132.05,129.45,129.69,20857754
8/11/2023 16:00:00,128.66,129.93,128.17,129.56,19591080
8/14/2023 16:00:00,129.39,131.37,128.96,131.33,24695608
8/15/2023 16:00:00,131.1,131.42,129.28,129.78,19770732
8/16/2023 16:00:00,128.7,130.28,127.87,128.7,25216068
8/17/2023 16:00:00,129.8,131.99,129.29,129.92,33446280
8/18/2023 16:00:00,128.51,129.25,126.38,127.46,30504769
8/21/2023 16:00:00,127.18,128.73,126.56,128.37,25248729
8/22/2023 16:00:00,128.51,130.28,128.32,129.08,22067520
8/23/2023 16:00:00,130.18,133.41,129.87,132.37,27819713
8/24/2023 16:00:00,133.95,134.25,129.57,129.78,28500694
8/25/2023 16:00:00,129.54,130.76,127.25,129.88,26762891
8/28/2023 16:00:00,131.31,132.54,130.14,131.01,20543266
8/29/2023 16:00:00,132.24,136.57,132.24,134.57,43075556
8/30/2023 16:00:00,134.78,136.28,134.07,135.88,28315769
8/31/2023 16:00:00,136.01,138,135.79,136.17,30053800
9/1/2023 16:00:00,137.46,137.46,134.85,135.66,21543687
9/5/2023 16:00:00,135.44,136.42,134.58,135.77,19403112
9/6/2023 16:00:00,136.02,136.53,133.67,134.46,18684534
9/7/2023 16:00:00,133.59,135.58,132.95,135.26,18844342
9/8/2023 16:00:00,134.91,136.66,134.85,136.38,23584188
9/11/2023 16:00:00,136.54,137.48,135.79,136.92,20763350
9/12/2023 16:00:00,136.26,136.87,135.19,135.34,18405505
9/13/2023 16:00:00,135.09,136.9,134.15,136.71,20749496
9/14/2023 16:00:00,137.6,138.7,136.24,138.1,24750968
9/15/2023 16:00:00,137.98,138.52,136.48,137.4,38919614
9/18/2023 16:00:00,136.61,139.16,136.61,138.21,21861346
9/19/2023 16:00:00,137.42,138.41,136.62,138.04,20353653
9/20/2023 16:00:00,138.08,138.08,133.62,133.74,29927475
